yyyy_mm_dd,count
2023-12-10,32
2023-12-11,31
2023-12-12,47
2023-12-13,48
2023-12-14,55
2023-12-15,27
2023-12-16,29
2023-12-17,32
2023-12-18,32
2023-12-19,45
2023-12-20,41
2023-12-21,44
2023-12-22,35
2023-12-23,23
2023-12-24,13
2023-12-25,23
2023-12-26,26
2023-12-27,36
2023-12-28,22
2023-12-29,34
2023-12-30,30
2023-12-31,20
2024-01-01,21
2024-01-02,46
2024-01-03,40
2024-01-04,39
2024-01-05,44
2024-01-06,23
2024-01-07,24
2024-01-08,38
2024-01-09,47
2024-01-10,36
2024-01-11,37
2024-01-12,43
2024-01-13,33
2024-01-14,21
2024-01-15,51
2024-01-16,30
2024-01-17,34
2024-01-18,45
2024-01-19,40
2024-01-20,28
2024-01-21,23
2024-01-22,35
2024-01-23,49
2024-01-24,41
2024-01-25,36
2024-01-26,51
2024-01-27,34
2024-01-28,33
2024-01-29,43
2024-01-30,47
2024-01-31,42
2024-02-01,36
2024-02-02,35
2024-02-03,17
2024-02-04,18
2024-02-05,42
2024-02-06,44
2024-02-07,42
2024-02-08,30
2024-02-09,26
2024-02-10,23
2024-02-11,24
2024-02-12,34
2024-02-13,44
2024-02-14,36
2024-02-15,37
2024-02-16,39
2024-02-17,22
2024-02-18,31
2024-02-19,57
2024-02-20,44
2024-02-21,38
2024-02-22,46
2024-02-23,41
2024-02-24,16
2024-02-25,31
2024-02-26,51
2024-02-27,33
2024-02-28,49
2024-02-29,38
2024-03-01,27
2024-03-02,20
2024-03-03,19
2024-03-04,37
2024-03-05,37
2024-03-06,40
2024-03-07,27
2024-03-08,30
2024-03-09,22
2024-03-10,21
2024-03-11,37
2024-03-12,39
2024-03-13,35
2024-03-14,39
2024-03-15,28
2024-03-16,26
2024-03-17,22
2024-03-18,36
2024-03-19,37
2024-03-20,33
2024-03-21,36
2024-03-22,33
2024-03-23,19
2024-03-24,20
2024-03-25,42
2024-03-26,42
2024-03-27,43
2024-03-28,40
2024-03-29,30
2024-03-30,19
2024-03-31,11
2024-04-01,23
2024-04-02,33
2024-04-03,33
2024-04-04,25
2024-04-05,42
2024-04-06,22
2024-04-07,16
2024-04-08,31
2024-04-09,25
2024-04-10,32
2024-04-11,65
2024-04-12,39
2024-04-13,22
2024-04-14,23
2024-04-15,35
2024-04-16,37
2024-04-17,47
2024-04-18,49
2024-04-19,27
2024-04-20,39
2024-04-21,25
2024-04-22,45
2024-04-23,35
2024-04-24,37
2024-04-25,36
2024-04-26,41
2024-04-27,18
2024-04-28,14
2024-04-29,26
2024-04-30,34
2024-05-01,28
2024-05-02,31
2024-05-03,28
2024-05-04,25
2024-05-05,22
2024-05-06,26
2024-05-07,37
2024-05-08,36
2024-05-09,37
2024-05-10,30
2024-05-11,25
2024-05-12,20
2024-05-13,36
2024-05-14,29
2024-05-15,35
2024-05-16,34
2024-05-17,34
2024-05-18,27
2024-05-19,22
2024-05-20,31
2024-05-21,18
2024-05-22,27
2024-05-23,36
2024-05-24,24
2024-05-25,23
2024-05-26,18
2024-05-27,26
2024-05-28,28
2024-05-29,26
2024-05-30,28
2024-05-31,27
2024-06-01,17
2024-06-02,27
2024-06-03,25
2024-06-04,31
2024-06-05,30
2024-06-06,47
2024-06-07,37
2024-06-08,15
2024-06-09,17
2024-06-10,34
2024-06-11,30
2024-06-12,32
2024-06-13,34
2024-06-14,35
2024-06-15,28
2024-06-16,18
2024-06-17,42
2024-06-18,32
2024-06-19,41
2024-06-20,45
2024-06-21,36
2024-06-22,17
2024-06-23,18
2024-06-24,33
2024-06-25,31
2024-06-26,34
2024-06-27,30
2024-06-28,35
2024-06-29,17
2024-06-30,14
2024-07-01,32
2024-07-02,34
2024-07-03,32
2024-07-04,23
2024-07-05,24
2024-07-06,26
2024-07-07,19
2024-07-08,41
2024-07-09,39
2024-07-10,53
2024-07-11,52
2024-07-12,45
2024-07-13,36
2024-07-14,29
2024-07-15,48
2024-07-16,54
2024-07-17,75
2024-07-18,51
2024-07-19,48
2024-07-20,25
2024-07-21,36
2024-07-22,62
2024-07-23,49
2024-07-24,54
2024-07-25,60
2024-07-26,46
2024-07-27,25
2024-07-28,35
2024-07-29,50
2024-07-30,57
2024-07-31,61
2024-08-01,76
2024-08-02,58
2024-08-03,45
2024-08-04,53
2024-08-05,65
2024-08-06,62
2024-08-07,77
2024-08-08,64
2024-08-09,71
2024-08-10,38
2024-08-11,39
2024-08-12,75
2024-08-13,61
2024-08-14,61
2024-08-15,64
2024-08-16,67
2024-08-17,34
2024-08-18,30
2024-08-19,61
2024-08-20,64
2024-08-21,56
2024-08-22,78
2024-08-23,61
2024-08-24,46
2024-08-25,35
2024-08-26,70
2024-08-27,63
2024-08-28,71
2024-08-29,65
2024-08-30,42
2024-08-31,34
2024-09-01,30
2024-09-02,63
2024-09-03,44
2024-09-04,63
2024-09-05,81
2024-09-06,51
2024-09-07,33
2024-09-08,32
2024-09-09,58
2024-09-10,59
2024-09-11,51
2024-09-12,77
2024-09-13,50
2024-09-14,37
2024-09-15,30
2024-09-16,57
2024-09-17,62
2024-09-18,56
2024-09-19,71
2024-09-20,52
2024-09-21,35
2024-09-22,42
2024-09-23,61
2024-09-24,57
2024-09-25,61
2024-09-26,84
2024-09-27,70
2024-09-28,30
2024-09-29,48
2024-09-30,74
2024-10-01,67
2024-10-02,66
2024-10-03,73
2024-10-04,77
2024-10-05,38
2024-10-06,29
2024-10-07,59
2024-10-08,64
2024-10-09,62
2024-10-10,72
2024-10-11,63
2024-10-12,44
2024-10-13,33
2024-10-14,68
2024-10-15,71
2024-10-16,58
2024-10-17,50
2024-10-18,66
2024-10-19,5
